time,magnitude,e_magnitude,system,band,flux_density(mjy),flux_density_error,flux(erg/cm2/s),flux_error,time (days)
58511.379282,20.674,0.391,AB,ztfr,0.01951641300285819,0.0070287595458066975,2.04045115879448e-14,7.348160626792132e-15,0.09999999999854481
58513.429884,18.205,0.151,AB,ztfr,0.1896705921211141,0.0263802481344382,1.9830159334406627e-13,2.7579020082161224e-14,2.150601999994251
58514.403623,18.116,0.257,AB,ztfr,0.20587328767335183,0.04873433589288792,2.152415960537425e-13,5.0948922899863e-14,3.1243409999951837
58514.458171,17.959,0.167,AB,ztfg,0.23790304458806166,0.036594717601200366,3.7905598943824493e-13,5.830361920213278e-14,3.1788889999952517
58523.421493,17.839,0.269,AB,ztfg,0.26570516703550623,0.06583460117248137,4.2335370345467325e-13,1.048893329063081e-13,12.142210999998497
58526.420324,18.143,0.094,AB,ztfg,0.20081678041839757,0.017387205317657476,3.1996565461826994e-13,2.7701730311938443e-14,15.14104199999565
58538.247049,17.677,0.122,AB,ztfr,0.3084608137757132,0.034662649812318945,3.224973896684634e-13,3.623779088062868e-14,26.967766999994637
58538.294815,18.275,0.164,AB,ztfg,0.17782794100389193,0.02686245970196525,2.8333704700464637e-13,4.27979425436158e-14,27.01553299999796
58543.264074,17.643,0.089,AB,ztfr,0.3182731482170767,0.02609107274048123,3.3275623650595765e-13,2.7276703972147273e-14,31.98479199999565
58543.278565,18.151,0.181,AB,ztfg,0.19934254564980847,0.03323383840282983,3.1761672495308046e-13,5.29489824181687e-14,31.999282999997376
58556.274248,17.83,0.051,AB,ztfr,0.2679168324819026,0.012585547266518357,2.801084457570069e-13,1.3157460045085015e-14,44.994965999998385
58556.371227,18.563,0.121,AB,ztfg,0.13639548675066335,0.015201529942026303,2.1732183492946476e-13,2.4219457646549754e-14,45.09194500000012
58559.231076,17.897,0.069,AB,ztfr,0.2518836627841735,0.016008513982875408,2.633456832124304e-13,1.6735973307351984e-14,47.95179399999324
58567.232917,18.133,0.058,AB,ztfr,0.20267491520989614,0.010827543133658687,2.1189768096116908e-13,1.1319568640971736e-14,55.95363499999803
58567.272176,18.921,0.113,AB,ztfg,0.09808441360309023,0.01020893344243319,1.5627998587057686e-13,1.6265128054110714e-14,55.99289399999543
58572.253947,19.184,0.166,AB,ztfg,0.07698391619294324,0.0117709094001077,1.2266011380340018e-13,1.8753707210031134e-14,60.974664999994275
58572.275266,18.244,0.102,AB,ztfr,0.18297847342954085,0.017191038015563435,1.9130494834735923e-13,1.7972233629049522e-14,60.99598399999377
58575.231099,18.248,0.149,AB,ztfr,0.18230559606810604,0.025020051388501382,1.9060145155639406e-13,2.61570132389841e-14,63.95181699999375
58575.251968,19.138,0.139,AB,ztfg,0.08031561699226533,0.010282926443556748,1.2796858366844955e-13,1.6383015553835253e-14,63.9726859999937
58580.229259,18.424,0.07,AB,ztfr,0.1550243788871037,0.00999539517551269,1.620787967006335e-13,1.0449606192852157e-14,68.94997699999658
58580.231296,19.383,0.131,AB,ztfg,0.0640914356644775,0.007733448978200473,1.0211824990463054e-13,1.2321124301539449e-14,68.95201399999496
58583.258252,18.393,0.069,AB,ztfr,0.1595144386927595,0.010137970418794497,1.66773177646643e-13,1.0598660344187253e-14,71.97896999999648
58586.212095,18.482,0.084,AB,ztfr,0.1469602898979646,0.011370543264355661,1.5364774960191698e-13,1.1887243798263314e-14,74.93281299999944
58594.316076,18.69,0.169,AB,ztfr,0.12133888504649715,0.018888115664547515,1.2686043719391273e-13,1.9746429926362536e-14,83.03679399999965
58598.184294,18.716,0.073,AB,ztfr,0.11846771175814802,0.007965715459311703,1.238586105455149e-13,8.327693716206893e-15,86.90501199999562
58598.231551,19.783,0.155,AB,ztfg,0.044340440163343924,0.006330436067532629,7.064856798006297e-14,1.008580904728071e-14,86.95226899999398
58601.22772,19.904,0.2,AB,ztfg,0.039664318794685655,0.007306879151460448,6.319800417916997e-14,1.1641502586394573e-14,89.94843799999944
58601.255741,18.883,0.099,AB,ztfr,0.10157808007968966,0.009262689872822373,1.062004125329627e-13,9.683605276021407e-15,89.9764589999977
58605.233391,19.997,0.248,AB,ztfg,0.03640826637893997,0.008316749289543193,5.801006649535254e-14,1.3250452944094568e-14,93.95410899999843
58608.213669,19.045,0.115,AB,ztfr,0.08749837752274311,0.009268293310286052,9.148001007294307e-14,9.689463345041548e-15,96.93438699999388
58634.16934,19.449,0.145,AB,ztfr,0.060311481961781405,0.008055081356760084,6.305596896289647e-14,8.421120581179092e-15,122.89005799999723
58634.193021,20.484,0.247,AB,ztfg,0.023248771015016285,0.005289308306691105,3.704276217052858e-14,8.427058263345647e-15,122.91373899999599
58637.179988,19.505,0.137,AB,ztfr,0.05727960309858281,0.0072280724345280215,5.988612379778732e-14,7.556530697182146e-15,125.90070600000035
58637.216794,20.531,0.329,AB,ztfg,0.022263836295528985,0.006746799854468968,3.5473444698052335e-14,1.0749170244589089e-14,125.93751199999679
58640.219688,19.428,0.175,AB,ztfr,0.061489363851262434,0.009911513518009993,6.428745062193e-14,1.0361912782805269e-14,128.94040599999425
