MJD,Filter,unforced mag,unforced mag status,forced flux (μJy),alert packet,diff_magnitude,diff_magnitude_error
58640.219688,r,19.428 ± 0.175,+ve,,data,19.428,0.175
58637.216794,g,20.531 ± 0.329,+ve,,data,20.531,0.329
58637.179988,r,19.505 ± 0.137,+ve,,data,19.505,0.137
58634.193021,g,20.484 ± 0.247,+ve,,data,20.484,0.247
58634.16934,r,19.449 ± 0.145,+ve,,data,19.449,0.145
58618.29303,r,16.326,limit,,,16.326,16.326
58608.213669,r,19.045 ± 0.115,+ve,,data,19.045,0.115
58605.233391,g,19.997 ± 0.248,+ve,,data,19.997,0.248
58601.255741,r,18.883 ± 0.099,+ve,,data,18.883,0.099
58601.22772,g,19.904 ± 0.200,+ve,,data,19.904,0.200
58598.231551,g,19.783 ± 0.155,+ve,,data,19.783,0.155
58598.184294,r,18.716 ± 0.073,+ve,,data,18.716,0.073
58594.316076,r,18.690 ± 0.169,+ve,,data,18.690,0.169
58586.212095,r,18.482 ± 0.084,+ve,,data,18.482,0.084
58586.1689,g,19.987,limit,,,19.987,19.987
58583.258252,r,18.393 ± 0.069,+ve,,data,18.393,0.069
58580.231296,g,19.383 ± 0.131,+ve,,data,19.383,0.131
58580.229259,r,18.424 ± 0.070,+ve,,data,18.424,0.070
58575.251968,g,19.138 ± 0.139,+ve,,data,19.138,0.139
58575.231099,r,18.248 ± 0.149,+ve,,data,18.248,0.149
58572.275266,r,18.244 ± 0.102,+ve,,data,18.244,0.102
58572.253947,g,19.184 ± 0.166,+ve,,data,19.184,0.166
58567.272176,g,18.921 ± 0.113,+ve,,data,18.921,0.113
58567.232917,r,18.133 ± 0.058,+ve,,data,18.133,0.058
58559.231076,r,17.897 ± 0.069,+ve,,data,17.897,0.069
58556.371227,g,18.563 ± 0.121,+ve,,data,18.563,0.121
58556.274248,r,17.830 ± 0.051,+ve,,data,17.830,0.051
58546.25333,g,17.559,limit,,,17.559,17.559
58543.278565,g,18.151 ± 0.181,+ve,,data,18.151,0.181
58543.264074,r,17.643 ± 0.089,+ve,,data,17.643,0.089
58538.294815,g,18.275 ± 0.164,+ve,,data,18.275,0.164
58538.247049,r,17.677 ± 0.122,+ve,,data,17.677,0.122
58526.420324,g,18.143 ± 0.094,+ve,,data,18.143,0.094
58523.421493,g,17.839 ± 0.269,+ve,,data,17.839,0.269
58514.458171,g,17.959 ± 0.167,+ve,,data,17.959,0.167
58514.403623,r,18.116 ± 0.257,+ve,,data,18.116,0.257
58513.429884,r,18.205 ± 0.151,+ve,,data,18.205,0.151
58511.49942,g,19.424,limit,,,19.424,19.424
58511.42083,g,20.140,limit,,,20.140,20.140
58511.379282,r,20.674 ± 0.391,+ve,,data,20.674,0.391
58508.54155,g,18.884,limit,,,18.884,18.884
58508.4614,r,19.442,limit,,,19.442,19.442
58505.50418,r,18.565,limit,,,18.565,18.565
58505.43775,g,18.825,limit,,,18.825,18.825
58502.52045,r,19.781,limit,,,19.781,19.781
58494.48046,g,20.808,limit,,,20.808,20.808
58494.45545,r,20.583,limit,,,20.583,20.583
58493.47416,r,20.531,limit,,,20.531,20.531
58491.52699,r,20.002,limit,,,20.002,20.002
58491.47747,g,19.815,limit,,,19.815,19.815
58486.48079,r,20.400,limit,,,20.400,20.400
