Time bin left [s],Time bin right [s],flux_20_50 [counts/s],flux_20_50_err [counts/s],flux_50_100 [counts/s],flux_50_100_err [counts/s],flux_100_300 [counts/s],flux_100_300_err [counts/s],flux_greater_300 [counts/s],flux_greater_300_err [counts/s]
-29.184,-28.16,3338.867,57.10177,2416.0156,48.57355,1611.328,39.668156,866.2109,29.084517
-28.16,-27.136,3448.242,58.029507,2400.3906,48.41623,1698.2421,40.72394,918.94525,29.956758
-27.136,-26.112,3438.4763,57.947277,2360.3516,48.010735,1685.5468,40.57144,879.88275,29.313145
-26.112,-25.088,3502.9294,58.487858,2330.0781,47.701855,1577.1483,39.24518,865.2343,29.068115
-25.088,-24.064,3343.7498,57.14351,2431.6406,48.730366,1605.4686,39.595966,901.3671,29.66886
-24.064,-23.04,3390.6248,57.542652,2271.4844,47.098263,1649.414,40.134224,891.6015,29.507704
-23.04,-22.016,3472.656,58.234573,2325.1953,47.651848,1660.1561,40.2647,826.1718,28.404373
-22.016,-20.992,3455.078,58.086998,2441.4062,48.82812,1620.1171,39.776196,871.0937,29.166374
-20.992,-19.968,3494.1404,58.414436,2364.2578,48.050446,1620.1171,39.776196,830.07806,28.471443
-19.968,-18.944,3416.0154,57.757706,2352.539,47.931213,1621.0936,39.78818,857.4218,28.936586
-18.944,-17.92,3348.6326,57.185215,2294.9219,47.340622,1610.3514,39.65613,797.8515,27.913292
-17.92,-16.896,3453.1248,58.07058,2369.1406,48.10004,1608.3983,39.632076,826.1718,28.404373
-16.896,-15.872,3446.2888,58.01307,2392.5781,48.337376,1614.2577,39.7042,858.3984,28.953058
-15.872,-14.848,3403.32,57.65028,2388.6719,48.2979,1627.9296,39.871983,917.9687,29.940838
-14.848,-13.824,3436.5232,57.930817,2360.3516,48.010735,1638.6718,40.00332,867.18744,29.100906
-13.824,-12.8,3377.9294,57.434826,2389.6484,48.307774,1575.1952,39.22087,820.31244,28.303469
-12.8,-11.776,3305.6638,56.81714,2399.414,48.40638,1540.039,38.78072,820.31244,28.303469
-11.776,-10.752,3414.0623,57.74119,2316.4062,47.5617,1595.703,39.475357,859.37494,28.969524
-10.752,-9.728,3373.0466,57.3933,2369.1406,48.10004,1635.7421,39.96754,872.07025,29.18272
-9.728,-8.704,3474.6091,58.250946,2410.1562,48.514618,1620.1171,39.776196,814.45306,28.202204
-8.7039995,-7.68,3396.4841,57.59235,2418.9453,48.602997,1635.7421,39.96754,885.7421,29.410585
-7.68,-6.656,3412.1091,57.72467,2357.4219,47.980927,1606.4452,39.608006,859.37494,28.969524
-6.656,-5.632,3480.4685,58.30004,2306.6406,47.461338,1628.9061,39.883938,909.1796,29.79716
-5.632,-4.608,3425.781,57.840206,2394.5312,48.3571,1634.7655,39.95561,881.8359,29.345661
-4.608,-3.5839999,3419.9216,57.790718,2430.664,48.72058,1620.1171,39.776196,876.95306,29.264303
-3.5839999,-2.56,3425.781,57.840206,2467.7734,49.091087,1607.4218,39.620045,869.14056,29.13366
-2.048,-1.9840001,3828.1245,244.5699,2343.7495,191.36635,1671.8748,161.62624,1093.7499,130.7281
-1.9840001,-1.9200001,3578.1245,236.44911,2140.6245,182.88591,1687.4998,162.37973,968.7499,123.03136
