event,time,magnitude,e_magnitude,band,system,flux_density(mjy),flux_density_error,flux(erg/cm2/s),flux_error,time (days)
at2017gfo,57982.9814,17.48,0.02,i,AB,0.36982817978026444,0.006812898591418732,2.1930272584805137e-13,4.0397054991254565e-15,0.4813999999969383
at2017gfo,57982.9902,18.26,0.15,H,AB,0.1803017740859559,0.024911116226263914,4.942583375395192e-14,6.8284312806390745e-15,0.49020000000018626
at2017gfo,57982.993,17.46,0.03,r,AB,0.37670379898390705,0.010409339749357701,3.1509737988393045e-13,8.706462357146609e-15,0.4930000000022119
at2017gfo,57982.999,18.62,0.05,Ks,AB,0.1294195841449981,0.005960352338803222,2.1896793126374163e-14,1.0083845887432716e-15,0.49900000000343425
at2017gfo,57983.0,17.83,0.15,J,AB,0.2679168324819026,0.03701631548975987,8.596584281004032e-14,1.1876620089664075e-14,0.5
at2017gfo,57983.0,17.35,0.02,V,AB,0.416869383470333,0.007679481961428907,3.747573420565822e-13,6.9032853544764396e-15,0.5
at2017gfo,57983.0,17.67,0.03,z,AB,0.31045595881283367,0.008578733639565584,1.3604111401995296e-13,3.75895489411976e-15,0.5
at2017gfo,57983.003059500006,17.480130787100002,0.02529849344005,i,AB,0.3697836331935316,0.008616765483469667,2.1927631037072474e-13,5.109307652412612e-15,0.5030595000062021
at2017gfo,57983.0037414,17.5902045028,0.02912213500222,z,AB,0.3341320989681302,0.008962792428952225,1.4641594623362872e-13,3.92723843416772e-15,0.5037414000034914
at2017gfo,57983.0057,17.41,0.02,g,AB,0.3944573020752769,0.007266611211942321,5.772179338277463e-13,1.0632747278724747e-14,0.505700000001525
at2017gfo,57983.009,17.88,0.03,J,AB,0.2558585886905637,0.007070061370910225,8.209674253467276e-14,2.268416826524487e-15,0.5089999999981956
at2017gfo,57983.0106,17.41,0.04,g,AB,0.3944573020752769,0.014533222423884643,5.772179338277463e-13,2.1265494557449493e-14,0.5106000000014319
at2017gfo,57983.011,17.49,0.04,w,AB,0.3664375746478326,0.01350087512338525,4.779821668459182e-12,1.7609513793542423e-13,0.510999999998603
at2017gfo,57983.0141,17.39,0.02,g,AB,0.4017908108489384,0.0074017076008219265,5.879492164273336e-13,1.0830424809464858e-14,0.514100000000326
at2017gfo,57983.018251,17.47,0.02,i,AB,0.3732501577957199,0.0068759375659371525,2.2133190898662999e-13,4.0770844338922306e-15,0.5182510000013281
at2017gfo,57983.019,17.46,0.01,Y,AB,0.37670379898390705,0.003469779916452567,7.799101101704002e-14,7.183237574214804e-16,0.5190000000002328
at2017gfo,57983.028,17.56,0.04,r,AB,0.34355794789987365,0.012657907575936787,2.873722259067919e-13,1.0587184056215924e-14,0.5279999999984284
at2017gfo,57983.029,18.64,0.06,Ks,AB,0.12705741052085368,0.007021876377953309,2.1497131610551966e-14,1.1879753949261134e-15,0.5290000000022701
at2017gfo,57983.03,18.41,0.15,Ks,AB,0.15703628043335452,0.02169667521824008,2.6569324640480592e-14,3.670687850885399e-15,0.5299999999988358
