event,time,magnitude,e_magnitude,band,system,flux_density(mjy),flux_density_error,flux(erg/cm2/s),flux_error,time (days)
SN2011kl,54357.75335648148,18.31,0.12,H,AB,0.17218685749860027,0.019031945044480338,4.720130479295217e-14,5.21688099773376e-15,0.09999999999854481
SN2011kl,54357.75335648148,18.72,0.12,J,AB,0.11803206356517275,0.013046174254485331,3.7872670145403144e-14,4.1858421940169134e-15,0.09999999999854481
SN2011kl,54357.75335648148,17.84,0.15,Ks,AB,0.2654605561975531,0.036676947869483084,4.4913873898386326e-14,6.205080990422325e-15,0.09999999999854481
SN2011kl,54357.75335648148,20.05,0.05,g,AB,0.03467368504525296,0.0015968787190882635,5.073875609531894e-14,2.3366060684428377e-15,0.09999999999854481
SN2011kl,54357.75335648148,19.36,0.03,i,AB,0.06546361740672735,0.0018089359243167696,3.881897196070654e-14,1.0726078339449201e-15,0.09999999999854481
SN2011kl,54357.75335648148,19.66,0.02,r,AB,0.04965923214503338,0.0009148121512342581,4.1537924433345946e-14,7.651568447530823e-16,0.09999999999854481
SN2011kl,54357.75335648148,19.13,0.02,z,AB,0.08090958991783798,0.0014904998086165905,3.54544032248906e-14,6.530942427730642e-16,0.09999999999854481
SN2011kl,54357.804513888885,18.31,0.11,H,AB,0.17218685749860027,0.017445949624106977,4.720130479295217e-14,4.7821409145892794e-15,0.15115740740293404
SN2011kl,54357.804513888885,18.79,0.08,J,AB,0.11066237839776631,0.008154398211160024,3.550797662916601e-14,2.6163244053983557e-15,0.15115740740293404
SN2011kl,54357.804513888885,17.87,0.15,Ks,AB,0.25822601906345855,0.0356773992166521,4.368984614372394e-14,6.0359753067445296e-15,0.15115740740293404
SN2011kl,54357.804513888885,20.07,0.06,g,AB,0.03404081897009995,0.0018812788772607507,4.9812669427971963e-14,2.7527498416101267e-15,0.15115740740293404
SN2011kl,54357.804513888885,19.39,0.03,i,AB,0.06367955209079136,0.0017596373983695534,3.77610472046531e-14,1.0433762926713436e-15,0.15115740740293404
SN2011kl,54357.804513888885,19.62,0.02,r,AB,0.05152286445817541,0.0009491436020411484,4.3096776933697655e-14,7.938719689889749e-16,0.15115740740293404
SN2011kl,54357.804513888885,19.13,0.02,z,AB,0.08090958991783798,0.0014904998086165905,3.54544032248906e-14,6.530942427730642e-16,0.15115740740293404
SN2011kl,54357.855671296296,18.35,0.1,H,AB,0.1659586907437553,0.015286284174905447,4.549398751236843e-14,4.190151098673476e-15,0.20231481481459923
SN2011kl,54357.855671296296,18.75,0.1,J,AB,0.11481536214968795,0.01057552482246759,3.684053474096162e-14,3.393138644498689e-15,0.20231481481459923
SN2011kl,54357.855671296296,18.01,0.16,Ks,AB,0.22698648518838122,0.03345198640362853,3.840435851721032e-14,5.659475419374554e-15,0.20231481481459923
SN2011kl,54357.855671296296,20.05,0.04,g,AB,0.03467368504525296,0.0012775029752706108,5.073875609531894e-14,1.86928485475427e-15,0.20231481481459923
SN2011kl,54357.855671296296,19.36,0.02,i,AB,0.06546361740672735,0.0012059572828778465,3.881897196070654e-14,7.150718892966135e-16,0.20231481481459923
SN2011kl,54357.855671296296,19.65,0.02,r,AB,0.05011872336272715,0.0009232768038511978,4.1922270115989666e-14,7.7223675386838e-16,0.20231481481459923
SN2011kl,54357.855671296296,19.15,0.02,z,AB,0.07943282347242789,0.0014632951211810152,3.4807287437037444e-14,6.411739294406487e-16,0.20231481481459923
SN2011kl,54357.90625,18.4,0.12,H,AB,0.1584893192461111,0.01751794566582181,4.344642078286378e-14,4.8018758802512946e-15,0.25289351851824904
SN2011kl,54357.90625,18.75,0.11,J,AB,0.11481536214968795,0.011633077304714348,3.684053474096162e-14,3.732452508948558e-15,0.25289351851824904
SN2011kl,54357.90625,18.09,0.18,Ks,AB,0.210862814993328,0.0349602423074891,3.567635816833422e-14,5.914645235332018e-15,0.25289351851824904
SN2011kl,54357.90625,20.14,0.05,g,AB,0.031915378551007456,0.0014698463331265443,4.6702466319224786e-14,2.1507280550540706e-15,0.25289351851824904
SN2011kl,54357.90625,19.43,0.03,i,AB,0.061376200516479205,0.0016959895956027496,3.6395193258279456e-14,1.005636353437819e-15,0.25289351851824904
SN2011kl,54357.90625,19.75,0.04,r,AB,0.04570881896148733,0.0016840769056763398,3.8233564756188824e-14,1.4085765801539643e-15,0.25289351851824904
SN2011kl,54357.90625,19.19,0.04,z,AB,0.07655966069112523,0.0028207326158432335,3.354827386543862e-14,1.2359640847718493e-15,0.25289351851824904
SN2011kl,54358.7755787037,19.01,0.14,H,AB,0.09036494737222968,0.01165279119947479,2.477159688886458e-14,3.1941677446536104e-15,1.1222222222204437
SN2011kl,54358.7755787037,19.66,0.13,J,AB,0.04965923214503338,0.005946278983022677,1.593404081819165e-14,1.9078532126745854e-15,1.1222222222204437
SN2011kl,54358.7755787037,18.71,0.17,Ks,AB,0.1191242008027369,0.018653092776348083,2.0154893855938904e-14,3.1557683537622223e-15,1.1222222222204437
SN2011kl,54358.7755787037,20.81,0.04,g,AB,0.01721868574986003,0.0006343981681493438,2.5196476676876808e-14,9.282725054743773e-16,1.1222222222204437
SN2011kl,54358.7755787037,20.11,0.02,i,AB,0.03280952931131177,0.0006044103944782093,1.945557316924113e-14,3.5838490204119655e-16,1.1222222222204437
SN2011kl,54358.7755787037,20.35,0.03,r,AB,0.02630267991895371,0.0007268138318050086,2.2001120107477418e-14,6.079134142637872e-16,1.1222222222204437
SN2011kl,54358.7755787037,19.89,0.05,z,AB,0.04017908108489384,0.0018504269002054795,1.7606384403084656e-14,8.108039653613106e-16,1.1222222222204437
SN2011kl,54358.90451388889,19.11,0.12,H,AB,0.08241381150129998,0.009109261613718998,2.2591964870799674e-14,2.4969562335815257e-15,1.2511574074087548
SN2011kl,54358.90451388889,19.65,0.11,J,AB,0.05011872336272715,0.005078022421181588,1.608147668262363e-14,1.6292746132405811e-15,1.2511574074087548
SN2011kl,54358.90451388889,18.98,0.21,Ks,AB,0.09289663867799325,0.017968888907587258,1.5717393103261363e-14,3.040013345064955e-15,1.2511574074087548
SN2011kl,54358.90451388889,20.85,0.06,g,AB,0.016595869074375495,0.0009171770504943259,2.4285095514238317e-14,1.342043973912518e-15,1.2511574074087548
SN2011kl,54358.90451388889,20.2,0.03,i,AB,0.03019951720402007,0.0008344939331409493,1.7907873991840503e-14,4.948128444099322e-16,1.2511574074087548
SN2011kl,54358.90451388889,20.49,0.02,r,AB,0.023120647901755893,0.0004259238158004933,1.9339479969973412e-14,3.5624638628094137e-16,1.2511574074087548
SN2011kl,54358.90451388889,19.95,0.07,z,AB,0.03801893963205597,0.002451319776311474,1.6659815199489828e-14,1.0740979796506622e-15,1.2511574074087548
SN2011kl,54359.80983796296,19.39,0.12,H,AB,0.06367955209079136,0.0070385495934782135,1.745637263483104e-14,1.9293496035221335e-15,2.1564814814773854
SN2011kl,54359.80983796296,19.87,0.08,J,AB,0.04092606597300093,0.003015726247636768,1.3131850364444683e-14,9.675904925631603e-16,2.1564814814773854
SN2011kl,54359.80983796296,19.1,0.18,Ks,AB,0.08317637711026675,0.013790322860510172,1.407279999095241e-14,2.3330750022614703e-15,2.1564814814773854
SN2011kl,54359.80983796296,21.16,0.06,g,AB,0.012473835142429383,0.0006893712690196283,1.8253233771920322e-14,1.0087109755718218e-15,2.1564814814773854
SN2011kl,54359.80983796296,20.43,0.03,i,AB,0.024434305526939613,0.0006751856191935809,1.4489187409801342e-14,4.003510432728669e-16,2.1564814814773854
SN2011kl,54359.80983796296,20.74,0.03,r,AB,0.01836538343348344,0.0005074849690977542,1.5361894985034595e-14,4.244648447121674e-16,2.1564814814773854
SN2011kl,54359.80983796296,20.22,0.05,z,AB,0.029648313895243392,0.001365437837206308,1.299182552831523e-14,5.982956758455621e-16,2.1564814814773854
SN2011kl,54360.80868055555,19.88,0.16,H,AB,0.04055085354483827,0.005976155806420218,1.1116139905159925e-14,1.6381349143844792e-15,3.1553240740686306
SN2011kl,54360.80868055555,20.17,0.11,J,AB,0.031045595881283368,0.003145535667840711,9.961527205106529e-15,1.009239618021049e-15,3.1553240740686306
SN2011kl,54360.80868055555,19.65,0.26,Ks,AB,0.05011872336272715,0.012002598450065571,8.479700537455532e-15,2.030624133262264e-15,3.1553240740686306
SN2011kl,54360.80868055555,21.49,0.05,g,AB,0.009204495717531683,0.0004239083129492084,1.3469138413835379e-14,6.202767465434163e-16,3.1553240740686306
SN2011kl,54360.80868055555,20.81,0.02,i,AB,0.01721868574986003,0.0003171990840746719,1.0210429942653072e-14,1.8808307023210374e-16,3.1553240740686306
SN2011kl,54360.80868055555,21.08,0.03,r,AB,0.013427649611378588,0.0003710420951877427,1.1231681819926721e-14,3.103428375337853e-16,3.1553240740686306
SN2011kl,54360.80868055555,20.6,0.04,z,AB,0.020892961308540327,0.0007697716639878185,9.155249403034163e-15,3.3729185276910473e-16,3.1553240740686306
SN2011kl,54361.79953703704,19.99,0.15,H,AB,0.03664375746478326,0.0050628281712694805,1.004509397512125e-14,1.3877810186903097e-15,4.146180555559113
SN2011kl,54361.79953703704,20.25,0.11,J,AB,0.028840315031266002,0.002922096903841407,9.253923934537888e-15,9.375496813481793e-16,4.146180555559113
SN2011kl,54361.79953703704,19.94,0.32,Ks,AB,0.038370724549227686,0.01130972141229351,6.492029959099491e-15,1.9134017801079327e-15,4.146180555559113
SN2011kl,54361.79953703704,21.59,0.03,g,AB,0.008394599865193931,0.0002319653857816532,1.2284000230202957e-14,3.3941946974880844e-16,4.146180555559113
SN2011kl,54361.79953703704,20.9,0.02,i,AB,0.01584893192461111,0.00029196576109703087,9.398185868130786e-15,1.731209814491621e-16,4.146180555559113
SN2011kl,54361.79953703704,21.19,0.02,r,AB,0.012133888504649713,0.00022352799603014863,1.0149503365593069e-14,1.869607612072601e-16,4.146180555559113
SN2011kl,54361.79953703704,20.71,0.04,z,AB,0.018879913490962852,0.0006956037590489332,8.273136304848226e-15,3.0479360524562186e-16,4.146180555559113
SN2011kl,54362.80671296296,20.25,0.19,H,AB,0.028840315031266002,0.00504725828845334,7.90594892021078e-15,1.3835131298533763e-15,5.153356481481751
SN2011kl,54362.80671296296,20.62,0.16,J,AB,0.02051162178825554,0.00302288699086045,6.581515756563308e-15,9.698880045035594e-16,5.153356481481751
SN2011kl,54362.80671296296,19.67,0.27,Ks,AB,0.04920395356814482,0.012236738890756192,8.324928560072407e-15,2.0702364914876147e-15,5.153356481481751
SN2011kl,54362.80671296296,21.85,0.05,g,AB,0.006606934480075937,0.0003042789670574152,9.668070661794837e-15,4.452311076772369e-16,5.153356481481751
SN2011kl,54362.80671296296,21.18,0.04,i,AB,0.012246161992650465,0.0004511925502247299,7.261795755425455e-15,2.6753444247696055e-16,5.153356481481751
SN2011kl,54362.80671296296,21.46,0.03,r,AB,0.009462371613657872,0.0002614707927738497,7.914888331346652e-15,2.186964466136551e-16,5.153356481481751
SN2011kl,54362.80671296296,20.94,0.05,z,AB,0.015275660582380638,0.0007035126861244488,6.693760657596487e-15,3.08259070125034e-16,5.153356481481751
SN2011kl,54363.74513888889,20.36,0.29,H,AB,0.026061535499988873,0.006961453504575803,7.144206581023861e-15,1.9082166546693193e-15,6.091782407405844
