READ TERR 1 2
! batSNR4flux

NO NO NO NO NO NO
! xrtwtflux
80.040	2.860	-2.606	3.89251452169576e-10	7.53004416767433e-11	-7.53086317691111e-11
85.267	2.026	-2.367	4.91161900693824e-10	8.97231168892032e-11	-8.97350101459723e-11
90.168	2.015	-2.876	4.10180453928605e-10	7.9337958843062e-11	-7.93479699737491e-11
95.880	3.050	-3.697	2.50082899935123e-10	5.80532936956435e-11	-5.80585117569843e-11
102.365	2.327	-3.436	3.37925310436296e-10	6.72978455828381e-11	-6.73060917500957e-11
106.412	1.625	-1.719	6.38979954472791e-10	1.16715083121136e-10	-1.16731765302179e-10
111.349	4.038	-3.312	2.79669537364989e-10	5.56973611958093e-11	-5.57040835890329e-11
118.380	2.880	-2.993	3.74752079702627e-10	7.04288426484481e-11	-7.04379760192044e-11
124.655	3.416	-3.396	3.38024230167903e-10	6.17508576773273e-11	-6.17587782061731e-11
131.135	4.240	-3.063	3.07842913529794e-10	5.95506788138151e-11	-5.95573605682035e-11
139.857	4.058	-4.482	2.64664680333242e-10	5.27271340497525e-11	-5.27309828372086e-11
NO NO NO NO NO NO
! xrtpcflux
162.777	8.849	-11.209	1.29500457617565e-10	2.82593167762065e-11	-2.82593167762065e-11
185.501	16.213	-13.874	8.88092481323155e-11	1.9001133495012e-11	-1.9001133495012e-11
214.925	19.385	-13.21	7.33126608211909e-11	1.60129116297321e-11	-1.60129116297321e-11
366.832	12252.193	-132.523	5.00026018953383e-13	8.41545923128601e-14	-8.41545923128601e-14
