READ TERR 1 2
! xrtwtslewflux
123.305389968444	4.16908702464025	-3.98902498164975	6.39477029511316e-10	7.01933963056718e-11	-7.01931252316883e-11
NO NO NO NO NO NO
! xrtwtflux
139.401	2.645	-2.256	3.61544755670571e-10	7.37664393555625e-11	-7.37663787969553e-11
146.573	2.677	-4.527	2.53099118459764e-10	5.16401267701879e-11	-5.16400956212217e-11
152.461	2.257	-3.212	3.21711385693049e-10	7.08983380913179e-11	-7.08982743929926e-11
156.299	2.035	-1.58	5.5685668062802e-10	1.07387043401679e-10	-1.07386978803189e-10
162.384	3.488	-4.05	2.7095155238094e-10	5.13081578032865e-11	-5.13081181995864e-11
NO NO NO NO NO NO
! xrtpcflux
177.502	13.648	-8.918	1.12723222413064e-10	2.54200138633045e-11	-2.54200138633045e-11
201.137	10.072	-9.987	1.29000071455799e-10	2.8214855758674e-11	-2.8214855758674e-11
224.861	13.927	-13.653	8.77134378793444e-11	1.96844483513319e-11	-1.96844483513319e-11
262.298	31.652	-23.509	4.44508674162544e-11	9.767203595959e-12	-9.767203595959e-12
323.318	33.315	-29.368	3.15505080920677e-11	6.94949272568006e-12	-6.94949272568006e-12
398.863	58.063	-42.23	1.35155759203389e-11	3.06360693329031e-12	-3.06360693329031e-12
566.232	291.145	-109.306	4.01890209562307e-12	9.9842261595016e-13	-9.9842261595016e-13
5084.687	1512.537	-774.693	1.97264509494073e-12	3.92334065221408e-13	-3.92334065221408e-13
10893.765	429.263	-510.979	1.15312945245205e-12	3.14513461839274e-13	-3.14513461839274e-13
11703.673	633.701	-380.645	1.57922823284892e-12	4.00068845227299e-13	-4.00068845227299e-13
20034.688	1964.192	-3229.499	1.58186730534834e-12	4.28737168208086e-13	-4.28737168208086e-13
22467.973	478.665	-469.093	1.65138900981617e-12	3.62801886365242e-13	-3.62801886365242e-13
28049.983	775.340	-836.854	8.67245570442815e-13	2.05224871784181e-13	-2.05224871784181e-13
70612.401	10114.002	-2622.802	8.26059173841648e-13	1.80853925049701e-13	-1.80853925049701e-13
140598.428	3250.439	-8800.154	4.9450362806798e-13	1.25432372068647e-13	-1.25432372068647e-13
NO NO NO NO NO NO
! batSNR4flux
3.40100000648271	0.84	-0.84	3.56935077383263e-08	7.86168271250207e-09	-7.86168271250207e-09
6.8010000072826	0.88	-0.88	5.70932756475192e-08	1.21027825700178e-08	-1.21027825700178e-08
8.32100000463426	0.64	-0.64	7.47756013431759e-08	1.84651490569125e-08	-1.84651490569125e-08
