READ TERR 1 2
! xrtwtflux
99.267	3.678	-4.992	4.42571992656709e-10	1.00680518281768e-10	-9.82287615845025e-11
NO NO NO NO NO NO
! xrtpcflux
128.943	10.167	-14.906	3.94229849640753e-10	8.05681547110371e-11	-8.05681547110371e-11
153.992	10.191	-14.882	4.05130117528638e-10	7.84675422803443e-11	-7.84675422803443e-11
169.689	9.538	-5.506	5.04846808613398e-10	1.10317315123136e-10	-1.10317315123136e-10
196.827	9.980	-17.6	2.53955815982157e-10	5.5875695715622e-11	-5.5875695715622e-11
240.743	41.283	-33.936	1.4155317825612e-10	2.41245882870503e-11	-2.41245882870503e-11
NO NO NO NO NO NO
! batSNR4flux

