READ TERR 1 2
! xrtwtflux
141.213	5.519	-7.051	3.5997391198497e-10	7.44531139253135e-11	-7.4458796807173e-11
NO NO NO NO NO NO
! xrtpcflux
184.576	20.909	-24.222	1.38204391351293e-10	3.03101487947093e-11	-3.03101487947093e-11
222.808	12.765	-17.323	2.0915391132472e-10	4.5916485532147e-11	-4.5916485532147e-11
258.681	17.009	-23.108	1.15030794809746e-10	2.58859086871129e-11	-2.58859086871129e-11
312.334	38.576	-36.644	4.54290280561029e-11	1.02020387637089e-11	-1.02020387637089e-11
391.136	45.023	-40.226	3.99236873084156e-11	8.96570154791102e-12	-8.96570154791102e-12
496.628	69.909	-60.469	2.73638141263568e-11	6.01430830071775e-12	-6.01430830071775e-12
17859.061	57253.990	-14060.776	6.55139014384969e-14	3.50579140764817e-14	-2.71490813646543e-14
NO NO NO NO NO NO
! batSNR4flux
12.7810000005135	0.26	-0.26	5.99533530210671e-08	1.32402070631227e-08	-1.32402070631227e-08
13.8209999990463	0.78	-0.78	3.52134673924944e-08	7.17721630702717e-09	-7.17721630702717e-09
16.1809999990161	1.58	-1.58	1.80271508755432e-08	4.09379090099252e-09	-4.09379090099252e-09
18.0009999962648	0.24	-0.24	4.13114378721662e-08	9.02900388749382e-09	-9.02900388749382e-09
21.2809999991561	3.04	-3.04	7.6051518151943e-09	1.87939838630296e-09	-1.87939838630296e-09
30.400999999023	6.07999999999996	-6.07999999999996	8.94893698589142e-09	1.69049679781142e-09	-1.69049679781142e-09
36.7210000000397	0.24	-0.24	5.88241820099062e-08	1.43651494649035e-08	-1.43651494649035e-08
47.6009999990063	10.6399999999999	-10.6399999999999	2.07278549307954e-08	5.10389180018116e-09	-5.10389180018116e-09
