READ TERR 1 2
! batSNR4flux
0.0410000276565552	0.04	-0.04	2.60315168954222e-08	6.23155290782616e-09	-6.23155290782616e-09
0.101000030040741	0.02	-0.02	4.94026656983765e-08	9.64955546306343e-09	-9.64955546306343e-09
NO NO NO NO NO NO
! xrtpcflux_nosys
138.959	44.628	-35.606	1.48350849585869e-11	3.34820140159628e-12	-3.34820140159628e-12
218.689	45.132	-35.102	1.94941044608277e-11	4.36898179010377e-12	-4.36898179010377e-12
287.745	21.208	-23.923	3.39405258717083e-11	7.43875374134195e-12	-7.43875374134195e-12
335.668	33.460	-26.715	2.36887779907208e-11	5.3090854239691e-12	-5.3090854239691e-12
420.149	49.273	-51.02	1.09442238903547e-11	2.46142774842656e-12	-2.46142774842656e-12
550.455	96.986	-81.034	3.11367706427286e-12	8.1024613100601e-13	-8.1024613100601e-13
849.749	567.432	-202.307	9.90806584015798e-13	2.16545544436377e-13	-2.16545544436377e-13
