GRB	Time [UT]	Trigger Number	BAT T90 [sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
190324A	22:44:01	894718	28.4	1.46, PL	03:18:27.77	-47:12:54.1	1.1715 (VLT: absorption)
190114C	20:57:03	883832	361.5	1.43, PL	03:38:01.18	-26:56:47.8	0.42 (NOT: absorption)|0.4245 (GTC)|0.4250 (ESO-VLT UT2: absorption & emission)
190114A	03:10:49	883600	66.6	2.06, PL	04:22:10.54	02:11:29.1	3.3765 (VLT: absorption)
190106A	13:34:44	882252	76.8	1.43, CPL	01:59:31.23	23:50:43.8	1.86 (Xinglong: absorption)| 1.86 (GMG: absorption)|1.859 (VLT: absorption)
181213A	12:57:38	876016	15.31	1.57, PL	16:33:04.83	78:29:49.1	<2.4 (NOT: inferred)
181110A	08:43:31	871316	138.4	2.02, PL	20:09:16.32	-36:53:48.2	1.505 (VLT: absorption)
181020A	19:00:33	867987	238.0	1.25, PL	00:55:55.78	-47:22:50.4	2.938 (VLT: absorption)
181010A	05:55:51	866434	16.4	1.52, PL	03:30:16.82	-23:02:16.6	1.39 (VLT: absorption & emission)
180728A	17:29:00	850471	8.68	1.97, PL	16:54:15.59	-54:02:40.2	0.117 (VLT: absorption)
180720B	14:21:44	848890	n/a	1.36, PL	00 02 06.86	-02:55:08.1	0.654 (VLT: absorption)
180624A	13:49:40	844192	486.4	1.91, PL	21:12:23.39	-02:20:17.0	2.855 (LBT: absorption)
180620B	15:50:37	843211	198.8	1.30, CPL	23:50:05.10	-57:57:44.8	1.1175 (VLT: absorption)
180510B	20:15:42	831816	134.3	2.00, PL	05:11:52.57	-62:19:27.0	1.305 (VLT: absorption)
180404A	00:45:35	821881	35.2	1.95, PL	05:34:11.74	-37:10:04.8	1.000 (VLT: absorption)
180329B	14:08:23	819490	210.0	0.97, CPL	05:31:36.91	-23:41:27.4	1.998 (VLT: absorption)
180325A	01:53:02	817564	94.1	1.18, PL	10:29:42.57	24:27:48.9	2.25 (NOT: absorption)| 2.248 (VLT: absorption)
180314A	00:43:31	814129	51.2	0.83, CPL	06:37:03.70	-24:29:46.5	1.445 (VLT: absorption)
180205A	04:25:29.3	808625	15.5	2.04, PL	08:27:16.72	11:32:31.6	1.409 (VLT: absorption)
180115A	04:16:03	805318	40.9	1.66, PL	00:48:09.32	-15:37:50.5	2.487 (GTC)
171222A	16:24:59	799669	174.8	2.07, PL	09:53:06.64	35:37:35.9	2.409 (GTC: absorption)
171205A	07:20:43	794972	189.4	1.41, PL	11:09:39.50	-12:35:18.6	0.0368 (VLT: emission & absorption)
171020A	23:07:10	780845	41.9	1.04, PL	02:36:59.61	15:12:14.9	1.87 (NOT: absorption)
170903A	12:49:07	770528	29.2	1.94, PL	16:58:06.24	34:58:44.7	0.886 (GTC: emission from host)
170714A	12:25:32	762535	n/a	1.76, PL	02:17:23.97	01:59:29.0	0.793 (GTC: emission from host)
170705A	02:45:47	760064	217.3	1.65, PL	12:46:48.96	18:18:25.4	2.010 (GTC: absorption)
170607A	23:21:33	756284	n/a	1.61, PL	00:29:27.82	09:14:35.7	0.557 (GTC: emission)
170604A	19:08:50	755867	26.70	1.31, PL	22:50:37.49	-15:24:44.4	1.329 (GTC: absorption)
170531B	22:02:09	755354	164.13	1.95, PL	19:07:32.09	-16:25:07.9	2.366 (GTC: absorption)|Consistent with GTC results (WHT)
170519A	05:10:02	753445	216.4	1.94, PL	10:53:42.50	25:22:26.8	0.818 (GTC: absorption)
170405A	18:39:48	745797	164.7	1.59, PL	14:39:18.66	-25:14:36.2	3.510 (GTC: absorption)
170202A	18:28:02	736407	46.2	1.68, PL	10:10:03.46	05:00:41.0	3.645 (GTC: absorption and emission)|3.65 (Xinglong: absorption)|3.645 (VLT: absorption and emission)
170113A	10:04:05	732526	20.66	0.75, CPL	04:06:55.94	-71:56:34.4	1.968 (VLT: absorption)
