band,wavelength
W2,1967.3683241188
M2,2259.8422409197
W1,2629.3536373923
F336W,3368.3243125991
U,3468.511549279
u,3565.0546633127
B,4379.8538958854
g,4700.3292220243
F475W,4767.6484876282
V,5450.0948872989
F606W,5941.2753628661
r,6174.4845377395
w,6233.8023620873
F625W,6273.8399284291
R,6413.6278852129
i,7533.6301436335
F775W,7727.5130846253
I,7821.0636743806
F814W,7880.1939622642
z,8781.6880580357
F850W,9109.0486423936
y,9509.7960069444
Y,9838.8594707098
J1,10547.728455003
F110W,11515.065310992
J,12537.592602831
F160W,15433.072160977
H,16309.109660283
K,21557.061538462
Ks,21557.061538462
