#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## Trig_time_met: The BAT trigger time shown in the Swift machine time (MET), in unit of sec.
## Trig_time_UTC: The BAT trigger time shown in UTC.
## RA_ground: RA of the GRB from the BAT refined position, in unite of deg.
## DEC_ground: DEC of the GRB from the BAT refined position, in unit of deg.
## Image_position_err: The uncertainty of the BAT refined position, in unit of arcmin.
## Image_SNR: The signal-to-noise ratio of the detection from the BAT image.
## T90: Burst duration T90, in unit of sec.
## T90_err: The uncertainty of T90.
## T50: Burst duration T90, in unit of sec.
## T50_err: The uncertainty of T50.
## Evt_start_sincetrig: The time when the event data start, relative to the BAT trigger time, in unit of sec.
## Evt_stop_sincetrig: The time when the event data end, relative to the BAT trigger time, in unit of sec.
## pcode: Partial coding fraction of the burst.
## Trigger_method: The triggering method for the burst (rate trigger, image trigger, ground detected, or ground detected during slew).
## XRT_detection: Whether or not there is an XRT detection of the burst.
## comment: Other special comments.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | Trig_time_met |       Trig_time_UTC        |  RA_ground   |  DEC_ground   | Image_position_err |   Image_SNR  |     T90      |   T90_err    |     T50      |   T50_err    | Evt_start_sincetrig | Evt_stop_sincetrig | pcode  | Trigger_method | XRT_detection | comment
GRB200829A   |    993768    | 620402400.000 | 2020-08-29T13:59:34.457300 | 2.511393e+02 |  7.236396e+01 |    1.821205e+00    | 1.291746e+01 | 1.310000e+01 | 3.079558e+00 | 2.684000e+00 | 4.882629e-02 |         -239        |         963       | 0.8828 | image trigger | Yes |    
GRB200819A   |    992099    | 619544658.368 | 2020-08-19T15:43:52.881500 | 2.151284e+01 |  6.306401e+01 |    2.066521e+00    | 1.078390e+01 | 2.694400e+01 | 7.060334e+00 | 1.145600e+01 | 6.706272e+00 |         -239        |         963       | 0.9609 | rate trigger | Yes |    
GRB200809B   |    987745    | 618680512.420 | 20200809T15:41:26.928 | 1.588788e+01 | -7.383024e+01 |    2.030407e+00    | 1.106040e+01 | 4.200000e+00 | 6.278089e-01 | 2.448000e+00 | 7.850733e-01 |         -49        |         151       | 0.2402 | ground detected | Yes |    
GRB200806A   |    987016    | 618420555.328 | 2020-08-06T15:28:49.915180 | 5.293437e+01 |  3.707842e+01 |    7.538071e-01    | 4.554712e+01 | 3.868800e+01 | 1.004064e+00 | 1.455600e+01 | 3.314453e-01 |         -239        |         963       | 0.5703 | rate trigger | Yes |    
GRB200729A   |    984929    | 617744310.464 | 2020-07-29T19:38:05.095420 | 1.843603e+02 |  4.557053e+01 |    2.318689e+00    | 9.148365e+00 | 1.220000e+02 | 3.423449e+01 | 5.700000e+01 | 2.482438e+01 |         -239        |         963       | 0.4609 | rate trigger | Yes |    
GRB200716C   |    982707    | 616633086.720 | 2020-07-16T22:57:41.424000 | 1.960117e+02 |  2.963774e+01 |    8.325877e-01    | 3.951753e+01 | 8.657200e+01 | 1.517080e+01 | 2.739200e+01 | 4.822381e+00 |         -240        |         962       | 0.5703 | rate trigger | Yes |    
GRB200713A   |    982201    | 616333400.000 | 2020-07-13T11:42:54.723580 | 7.693291e+01 | -3.284123e+01 |    2.747333e+00    | 7.179631e+00 | 4.197200e+01 | 7.986744e+00 | 2.074800e+01 | 9.168349e+00 |         -239        |         963       | 0.4648 | image trigger | Yes |    
GRB200711A   |    981957    | 616158301.760 | 2020-07-11T11:04:36.495000 | 2.859741e+02 | -1.347893e-01 |    1.475438e+00    | 1.745030e+01 | 2.936000e+01 | 3.071708e+00 | 1.696000e+01 | 1.531013e+00 |         -240        |         962       | 0.0869 | rate trigger | Yes |    
GRB200701A   |    980421    | 615300444.288 | 2020-07-01T12:46:59.079040 | 1.235667e+02 | -1.453364e+01 |    1.522583e+00    | 1.668354e+01 | 3.878000e+01 | 8.712849e+00 | 1.427200e+01 | 4.494482e+00 |         -239        |         963       | 0.7734 | rate trigger | No |    
GRB200630A   |    980210    | 615174599.680 | 2020-06-30T01:49:34.479260 | 9.137756e+01 | -6.077785e+01 |    1.735311e+00    | 1.384046e+01 | 1.484400e+01 | 2.787567e+00 | 5.788000e+00 | 3.761330e+00 |         -240        |         962       | 0.7031 | rate trigger | Yes |    
GRB200612A   |    977310    | 613629602.240 | 2020-06-12T04:39:37.140020 | 3.027043e+02 | -4.534840e+01 |    1.263027e+00    | 2.178930e+01 | 4.259240e+02 | 7.266132e+00 | 3.623240e+02 | 2.030693e+01 |         -239        |         963       | 0.9688 | rate trigger | Yes |    
GRB200608A   |    976692    | 613330144.000 | 2020-06-08T17:28:38.919540 | 3.096247e+02 | -3.119049e+01 |    2.436953e+00    | 8.520785e+00 | 1.215520e+02 | 3.300627e+01 | 5.337600e+01 | 1.776107e+01 |         -239        |         963       | 0.5391 | image trigger | No |    
GRB200529A   |    974942    | 612406620.800 | 2020-05-29T00:56:35.779500 | 2.387520e+02 | -1.107992e+01 |    1.121178e+00    | 2.583179e+01 | 7.991600e+01 | 7.195824e+00 | 3.658000e+01 | 5.168546e+00 |         -240        |         962       | 0.5000 | rate trigger | Yes |    
