trigger_num,name,ra,dec,lii,bii,day_trigger,time,seconds_trigger,error_radius,earth_angle,overwrite,overwritten,max_cts_64,threshold_64,flux_64,flux_64_error,flux_64_time,max_cts_256,threshold_256,flux_256,flux_256_error,flux_256_time,max_cts_1024,threshold_1024,flux_1024,flux_1024_error,flux_1024_time,t50,t50_error,t50_start,t90,t90_error,t90_start,fluence_1,fluence_1_error,fluence_2,fluence_2_error,fluence_3,fluence_3_error,fluence_4,fluence_4_error,comments_quality,comments_otherobs,comments_general,comments_position,comments_duration
105,4B 910421,270.68,24.76,50.76,21.19, 8367,48367.38477,33243.756, 0.53,123.48,N,N,  11.929,  71, 12.7610,  0.5440,   3.8400,  22.213, 143, 11.8570,  0.2650,   3.8400,  34.143, 286,  9.9370,  0.1230,   4.1600,   1.792, 0.202,    2.304,   5.184, 0.181,    0.512,0.0000008685,0.000000010887,0.0000013209,0.000000014368,0.0000020468,0.00000017931,0.0000010321,0.00000017931,Data gap during burst accumulation; HV turnoff at T+38 s,"Ulysses, PVO rate increase",Background source (Cyg X-1),,
107,4B 910423,193.47,-8.38,303.97,54.49, 8369,48369.82968,71684.716,11.1,143.48,N,N,-999,  66,  0.4080,  0.2170,  -0.4480,-999, 132,  0.2990,  0.1080,  -0.2560,   1.121, 264,  0.2000,  0.0530,   0.1280,  68.608, 3.238, -168.960, 208.576, 1.118, -208.896,0.000000055032,0.0000000098234,0.000000056918,0.000000010321,0.000000059237,0.000000020034,0.000000076854,0.0000005499,,,Untriggered GRB at T-200,,Precursor is now included in time analysis.
108,4B 910424,201.31,-45.41,309.13,17.05, 8370,48370.82184,71006.572,13.78,90.87,N,N,   1.033,  60,  0.8120,  0.2380,   0.0000,-999, 121,  0.4390,  0.1070,   0.1280,   0.678, 242,  0.1120,  0.0480,   0.7680,   1.280, 1.574,   -0.960,   3.136, 0.590,   -1.536,0.0000000082861,0.0000000060599,0.000000014947,0.0000000052203,0.000000031987,0.000000012363,0.0000014604,0.00000042317,,,,,
109,4B 910425-,91.29,-22.77,229,-19.94, 8371,48371.02622, 2265.707, 1.02,88.58,N,N,   3.987,  71,  3.7770,  0.3540,  34.3680,   7.447, 134,  3.6200,  0.1730,  34.5600,  13.122, 286,  3.3500,  0.0840,  35.0720,  47.104, 0.143,   14.912,  90.176, 0.286,    4.224,0.0000044255,0.000000039649,0.000007308,0.000000049525,0.000017653,0.00000012098,0.000029537,0.00000090307,Event rides on a magnetospheric disturbance,"Ulysses rate increase, CGRO-COMPTEL, WATCH/GRANAT",,,
110,4B 910425-,335.94,25.77,85.83,-26.26, 8371,48371.23441,20253.291, 4.79,81.93,N,N,   0.608,  66,  0.4750,  0.2180,   0.0000,   1.074, 132,  0.4780,  0.1070,   0.1920,   1.606, 264,  0.3670,  0.0520,   0.3200, 306.368, 3.304, -196.096, 430.016, 1.094, -259.584,0.00000045034,0.000000036621,0.00000046726,0.000000040653,0.0000017766,0.00000014014,0.00000040053,0.00000070827,,,,,Precursor at ~ T-250 s
111,4B 910426,75.82,-19.51,219.85,-32.25, 8372,48372.92647,80046.699, 2.67,161.92,N,N,   0.711,  66,  0.7740,  0.2570,   2.6240,   1.041, 132,  0.6490,  0.1240,   2.8160,   1.417, 264,  0.5890,  0.0610,   2.8800,  41.728, 0.630,    2.880,  98.176, 2.262,  -14.848,0.000001111,0.000000033433,0.0000018851,0.000000045079,0.000002022,0.000000088778,0,0.00000043962,,,,,
114,4B 910427,78.86,-15.59,216.87,-28.11, 8373,48373.37871,32720.747, 9.07,170.33,N,N,-999,  66,  0.7400,  0.2510,  -0.1280,   1.078, 132,  0.7220,  0.1220,  -0.1280,   1.583, 264,  0.5160,  0.0590,   0.5760,  29.632, 7.359,  -25.856, 381.248,10.192, -359.680,0.00000065931,0.000000059408,0.0000007019,0.000000075803,0.00000072099,0.00000015653,0,0.0000012035,,,Background source (Vela X-1),,Precursors (T-350 and T-290) now included in time analysis
121,4B 910429,174.75,14.33,246.47,68.82, 8375,48375.13322,11509.803, 1.36,85.46,Y,Y,   2.074,  70,  1.7930,  0.2700,  53.8880,-999,-999,  1.4960,  0.1360,   1.9840,-999,-999,  1.1280,  0.0630,   2.3040,  48.640, 0.373,    6.208,  75.008, 1.280,   -8.128,0.0000024987,0.000000039769,0.0000026381,0.000000036622,0.0000047813,0.00000010211,0.000007266,0.0000011075,,"Ulysses rate increase, Ginga",,,
130,4B 910430,135.8,2.73,226.69,30.34, 8376,48376.71434,61719.147, 0.50,105.21,N,N,   3.875,  60,  3.9260,  0.3690,  12.0960,   6.802, 121,  3.4680,  0.1780,  12.1600,   9.843, 242,  2.8160,  0.0830,  12.2240,  33.792, 0.143,   12.928,  61.952, 0.500,    2.816,0.0000031859,0.000000030566,0.000004885,0.000000037336,0.000013484,0.00000010646,0.000017184,0.0000007932,,"Ulysses rate increase, PVO rate increase",,,Possible precursors at T-220 s and T-150 s not included in timing analysis
133,4B 910501,126.54,-0.23,224.46,20.83, 8377,48377.34738,30014.059, 2.19,153.99,N,N,   0.872,  66,  0.8080,  0.2420, 144.8320,   1.454, 132,  0.6590,  0.1180, 143.9360,   2.409, 264,  0.6070,  0.0590, 144.4480,  95.232, 0.994,   58.048, 182.016, 0.916,    0.384,0.00000074327,0.000000041611,0.000000747,0.000000044329,0.0000024223,0.00000011826,0.0000018328,0.00000081751,,,,,
138,4B 910502-,114.48,-25.31,240.56,-1.88, 8378,48378.47069,40667.371,13.33,68.47,N,N,   1.664,  60,  1.1070,  0.2530,   0.2560,   1.702, 121,  0.7220,  0.1140,   0.3200,   1.670, 264,  0.3640,  0.0520,   0.3200,   0.218, 0.009,    0.006,   0.315, 0.023,   -0.045,0.0000000067073,0.0000000022032,0.000000017829,0.0000000030396,0.000000058935,0.0000000074537,0.00000005276,0.000000063551,,,,,
142,4B 910502-,46.22,-52.71,268.02,-54.4, 8378,48378.94263,81443.371, 0.62,116.31,Y,N,   2.347, 233,  8.8660,  0.5350,   1.2800,-999,-999,  8.6000,  0.2640,   0.5760,-999,-999,  8.0270,  0.1290,   1.3440,,,,,,,0.0000004511,0.000000012951,0.0000013259,0.000000017685,0.0000043792,0.000000038644,0.0000014688,0.00000017783,Event rides on a magnetospheric disturbance,"Ulysses, DMS rate increase",,Location Derived using only max rates,Duration is visually estimated as ~ 6 s. Noisy background
143,4B 910503,87.45,38.74,172.03,5.79, 8379,48379.29459,25452.651, 0.87,153.85,N,N,  58.596,  66, 52.0080,  1.4260,   1.2800, 102.363, 132, 47.5690,  0.6820,   1.3440, 130.008, 264, 37.6340,  0.3010,   2.8800,   6.720, 0.143,    2.112,  50.816, 0.202,    1.024,0.0000057236,0.000000034374,0.0000075901,0.00000004308,0.00004562,0.00000013972,0.00023324,0.0000012379,,"Ulysses, CGRO-COMPTEL, CGRO-EGRET, DMS rate increase",Solar flare at T + 450 s,,
148,4B 910505,177.68,44.44,154.11,68.83, 8381,48381.84394,72916.075, 3.07,125.88,N,Y,   1.769,  66,  1.4420,  0.2560,   2.3040,   3.217, 132,  1.4040,  0.1260,   2.4960,   4.989, 264,  1.2670,  0.0620,   2.8160, 419.008, 3.096,    5.440, 454.016, 6.147,    0.128,0.00000063097,0.000000017111,0.00000064312,0.000000014973,0.00000081738,0.000000037501,0.0000000070846,0.00000021302,,,,,Possible emission at T+370 s not included in timing analysis
160,4B 910507,299.55,-44.88,354.68,-30.19, 8383,48383.60504,52275.819, 0.68,138.27,N,N,   3.076,  71,  4.2100,  0.4110,  13.9520,   3.782, 143,  3.0000,  0.1880,  15.7440,   5.511, 264,  2.5840,  0.0890,  13.9520,   8.384, 0.405,    6.016,  17.024, 1.374,    0.064,0.00000051678,0.000000019274,0.00000083949,0.000000017863,0.0000030642,0.000000053497,0.00000043976,0.00000022696,,"Ulysses rate increase, PVO rate increase",,,
171,4B 910509,339.25,38.26,95.83,-17.44, 8385,48385.12744,11010.667, 2.44,113.27,N,N,   0.803,  66,  1.0770,  0.3290,   0.7040,   1.069, 132,  0.6460,  0.1570,   0.7680,   2.066, 242,  0.6020,  0.0780,   1.4720,  12.864, 0.410,    1.664,  24.768, 4.401,   -1.920,0.0000004336,0.000000032945,0.00000044697,0.000000027846,0.00000078429,0.000000051413,0.00000017973,0.00000025061,,,,,
179,4B 910511,266.48,58.3,86.76,31.32, 8387,48387.09152, 7907.691, 1.66,87.32,N,N,   6.929,  66,  5.2490,  0.3690,   1.9840,  12.420, 132,  4.7360,  0.1780,   2.0480,   9.943, 336,  2.5000,  0.0710,   2.3040,   3.200, 0.202,    1.536,   7.232, 0.181,   -0.192,0.00000025648,0.0000000077966,0.00000027782,0.0000000097845,0.00000050439,0.000000019354,0.000000075724,0.00000013397,,"Ulysses rate increase, PVO rate increase",Solar flare ending at the same time recorded by detectors 0 and 1,,
185,4B 910512,90.86,71.58,142.4,21.97, 8388,48388.63553,54909.419, 6.05,136.15,N,Y,   1.333,  66,  1.5830,  0.2660,   0.0000,   1.076, 132,  0.7290,  0.1170,   0.1280,   0.458, 336,  0.1650,  0.0520,   0.7680,   0.056, 0.006,   -0.067,   0.132, 0.077,   -0.085,0.0000000085668,0.0000000013707,0.0000000085117,0.000000001434,0.000000033879,0.0000000051329,0,0.000000064211,,,,,High time resolution (TTE) data not available
204,4B 910517-,113.58,49.17,169.04,26.95, 8393,48393.45055,38927.211, 3.64,118.65,N,N,   0.909,  66,  0.7080,  0.2330,   1.1520,   1.624, 132,  0.6740,  0.1140,   1.0240,   1.640, 336,  0.5130,  0.0560,   1.3440,  20.288, 4.544,    0.896,  62.656, 1.548,   -0.640,0.000000014705,0.0000000065476,0.000000055198,0.0000000082568,0.00000053717,0.000000022567,0.0000014911,0.00000022728,,,,,
206,4B 910517-,356.91,25.28,105.19,-35.38, 8393,48393.99693,86135.147, 4.73,113.07,N,N,,,  2.1610,  0.3150,   0.0000,,,  1.6590,  0.1460,   0.1920,,,  0.5660,  0.0610,   0.4480,,,,,,,0.000000012163,0.0000000046723,0.000000023309,0.0000000063901,0.000000099594,0.00000001567,0.00000042165,0.00000014117,Data gaps before and after trigger time,,Solar flare at T + 160 s,,Duration estimate by visual inspection as ~ 0.5 s
207,4B 910518-,285.85,80.82,112.7,26.28, 8394,48394.14272,12331.435, 5.36,116.59,N,Y,   3.545,  66,  2.8360,  0.3710,   0.0000,-999, 132,  1.0250,  0.1510,   0.1280,   0.810, 336,  0.1980,  0.0670,   0.7680,   0.042, 0.005,   -0.024,   0.085, 0.003,   -0.028,0.0000000040862,0.0000000018969,0.0000000084507,0.0000000021974,0.000000058126,0.0000000060817,0.00000033352,0.00000011754,,,,,
211,4B 910518-,249.02,-11.77,5.05,23.09, 8394,48394.62183,53725.803, 3.22,91.8,N,N,   0.844,  66,  0.7000,  0.2420,   2.1760,   1.270, 132,  0.5070,  0.1160,   2.2400,   1.708, 336,  0.4660,  0.0570,   2.9440, 203.840, 4.299, -184.320, 292.736, 1.280, -239.616,0.00000036627,0.000000025008,0.00000039705,0.000000027062,0.00000075491,0.000000053728,0,0.00000043362,,,,,Precursor at T - 240 s is now included in the time analysis
214,4B 910521-,108.93,-33.75,245.82,-10.08, 8397,48397.21848,18877.099, 6.22,133.21,N,N,   1.056,  71,  0.9820,  0.2510,   0.0000,   1.604, 143,  0.7520,  0.1210,  12.4800,   1.592, 336,  0.6490,  0.0600,  12.5440,  18.816, 0.286,    0.000,  45.696, 4.524,  -17.984,0.00000040552,0.000000022523,0.00000044031,0.000000021646,0.00000041376,0.000000054889,0,0.00000030986,,,Background source (Vela X-1),,
218,4B 910521-,216.66,-34.52,324.34,24.36, 8397,48397.88488,76453.227, 4.61,129.69,N,N,   1.417,  66,  0.9780,  0.2460,   0.5120,-999, 132,  0.8680,  0.1200,  -0.1280,   2.333, 336,  0.6650,  0.0570,   0.3200,   0.597, 0.092,   -0.512,   1.173, 0.069,   -0.704,0.000000011181,0.000000005512,0.000000035093,0.0000000064808,0.00000012263,0.000000013115,0.00000034937,0.00000012767,,,,,
219,4B 910522,137.72,-50.89,271.74,-1.89, 8398,48398.50845,43929.707, 0.61,142.93,N,N,  20.979,  66, 20.1330,  0.6370, 115.2000,  35.476, 132, 18.0630,  0.3020, 115.2640,  41.670, 336, 13.0690,  0.1300, 115.3280,   6.272, 0.231,  113.408,  29.696, 1.414,  108.416,0.0000030342,0.000000053143,0.0000042219,0.000000040734,0.000010534,0.000000087486,0.000014797,0.00000072386,,"Ulysses, PVO, Ginga",BATSE triggered on a precursor event. Main event starts at T+105 s,,Precursor not included in T90 (emission level below 5%)
222,4B 910523-,106.99,0.36,214.5,3.84, 8399,48399.79403,68604.523, 1.28,131.07,N,N,   5.523,  66,  4.5380,  0.3640,  68.5440,   9.361, 132,  3.9900,  0.1740,  68.6720,  10.420, 336,  3.0050,  0.0800,  68.7360,  57.024, 0.389,   11.136,  73.088, 0.466,    0.512,0.00000078081,0.000000023233,0.0000010401,0.000000025256,0.0000027646,0.000000068917,0.0000025434,0.0000005118,,Ulysses rate increase,,,
223,4B 910523-,352.96,24.89,100.91,-34.56, 8399,48399.98529,85129.067, 8.14,139.3,N,N,-999,  71,  0.6330,  0.2410,  -0.3840,   1.056, 143,  0.4570,  0.1170,   0.0000,   1.154, 364,  0.3740,  0.0570,   0.5760,  22.784, 2.010,    0.000,  29.184, 1.243,   -0.960,0.000000051747,0.000000011111,0.000000064875,0.000000014638,0.00000016753,0.000000033177,0,0.00000020308,,,,,
226,4B 910525,216.03,-62.82,313.29,-1.83, 8401,48401.81005,69987.947, 0.95,72.06,N,N,   1.849,  60,  1.3070,  0.2380,  47.2320,   3.323, 121,  1.2980,  0.1180,  30.4000,   4.588, 308,  1.0900,  0.0580,  47.2320,  61.440, 0.320,   28.288, 221.184, 0.466,    4.608,0.0000021662,0.000000042974,0.0000032057,0.000000034072,0.0000094294,0.000000083599,0.000024648,0.0000013041,Burst ends prior to SAA entry;postbackground level not well defined,PVO rate increase,Solar flare starts at the end of the burst,,Solar flare at the end of the burst;values for T90/T50 questionable
228,4B 910526-,111.56,1.05,215.98,8.22, 8402,48402.1475,12744.235, 3.92,134.92,N,Y,   1.324,  71,  1.3320,  0.2650,   0.0000,   2.061, 143,  1.0540,  0.1290,   0.1280,   2.236, 364,  0.8170,  0.0620,   0.7040,   5.504, 0.453,    0.192,  12.352, 2.695,   -0.384,0.00000013305,0.00000001162,0.00000012437,0.000000011291,0.00000017675,0.000000028765,0.000000047203,0.00000015926,Data gaps during burst accumulation interval,,,,
229,4B 910526-,30.54,-50.71,278,-62.86, 8402,48402.19387,16750.123, 6.40,116.73,Y,N,   1.043,  93,  1.0850,  0.2200,   0.0000,-999,-999,  0.6740,  0.1020,   0.1920,-999,-999,  0.2880,  0.0450,   0.4480,   0.256, 0.091,    0.000,   0.448, 0.091,   -0.064,0.0000000044308,0.0000000017163,0.000000011202,0.0000000024303,0.000000054209,0.0000000072257,0.000000066156,0.000000069113,,,,,
235,4B 910528,240.59,43.97,69.65,48.37, 8404,48404.8937,77215.339, 2.98,146.78,N,N,   0.787,  66,  0.7190,  0.2440,   1.5360,   1.141, 132,  0.5520,  0.1210,   1.6640,   1.315, 336,  0.4050,  0.0580,   2.4320,  10.304, 0.551,    0.512,  26.432, 3.057,   -4.608,0.0000001513,0.000000016989,0.00000021635,0.00000001812,0.00000097628,0.000000065089,0.0000016195,0.00000035283,,Ulysses rate increase,,,Precursor (T-250) not included in the time analysis
237,4B 910529,205.43,-27.4,316.43,34.15, 8405,48405.73334,63360.875, 3.32,130.49,N,N,-999,  66,  0.9670,  0.2520,  -0.1280,   1.439, 132,  0.8250,  0.1230,  -0.0640,   1.789, 336,  0.6390,  0.0610,   0.7680,  30.208, 0.547,    0.576,  40.512, 3.529,   -0.768,0.000000067389,0.000000012327,0.000000082897,0.000000014072,0.00000038104,0.000000027795,0.00000038164,0.0000002955,,,,,
249,4B 910601,310.12,32.34,73.92,-5.77, 8408,48408.80711,69734.507, 0.17,109.62,N,N,  37.760,  66, 35.6960,  0.8140,  21.3120,  71.833, 132, 34.6210,  0.4030,  21.3760, 102.610, 336, 31.6600,  0.1900,  22.0800,   6.656, 0.143,   19.264,  28.544, 0.854,   11.712,0.0000064429,0.000000036007,0.000012132,0.000000037487,0.000042087,0.000000085406,0.000089605,0.0000005371,,"DMS rate increase, PHEBUS/GRANAT; Ulysses rate increase, CGRO-OSSE, CGRO-COMPTEL, CGRO-EGRET",,,
254,4B 910602-,288.64,48.62,79.64,16.43, 8409,48409.50451,43589.483, 4.72,159.72,Y,N,   1.055,  91,  1.5450,  0.2720,   0.0000,-999,-999,  1.3190,  0.1310,   0.0640,-999,-999,  0.4830,  0.0570,   0.5120,   0.192, 0.091,   -0.128,   0.384, 0.707,   -0.256,0.000000011875,0.000000016056,0.000000015741,0.000000014111,0.00000015703,0.00000060678,0.0000010978,0.00000060678,,,"Reclassified event, originally not included in the 1B catalog; Untriggered event at T+200 s in the non-burst detectors (6,7)",,
257,4B 910602-,142.76,53.99,162.39,44.79, 8409,48409.95487,82501.035, 2.06,95.7,N,N,   2.560,  66,  1.8660,  0.2870,   1.0880,   4.648, 132,  1.7110,  0.1410,   1.2800,   6.545, 336,  1.4930,  0.0690,   1.2800,  28.480, 1.096,    5.440,  80.832, 4.160,    0.832,0.00000079986,0.000000018309,0.0000012911,0.000000025601,0.0000041876,0.000000062867,0.000030458,0.00000091037,,Ulysses rate increase,,,
269,4B 910604,29.47,-35.25,246.82,-73.67, 8411,48411.87563,75654.507, 4.93,98.36,N,N,,,  1.5740,  0.2510,   0.3840,,,  1.3670,  0.1250,   0.3840,,,  1.1430,  0.0600,   0.8320,,,,,,,0.000000068059,0.0000000062858,0.00000010496,0.0000000067468,0.00000040408,0.000000023767,0.00000022526,0.00000014104,Event occurs just before SAA entry: data gap,,,,Duration determined visually as ~ 4 s
288,4B 910607-,78.76,-9.36,210.45,-25.64, 8414,48414.00842,  727.659, 4.04,160.88,N,N,,,  0.6590,  0.2040,  -1.4080,,,  0.5190,  0.1010,  -1.2160,,,  0.3970,  0.0500,  -1.0240,  21.440, 4.871,    1.664,  41.152, 6.464,   -1.984,0.00000030921,0.000000024349,0.00000031707,0.000000021023,0.00000054802,0.0000011593,0.0000042687,0.0000011593,,,,,
289,4B 910607-,146.76,52.27,163.75,47.59, 8414,48414.18821,16261.227, 7.55,52.82,N,N,-999,  66,  1.6070,  0.2530,  -0.1280,   1.121, 132,  0.5100,  0.1050,   0.0000,   0.716, 264,  0.1630,  0.0470,   0.2560,   0.030, 0.007,   -0.184,   0.067, 0.012,   -0.194,0.00000000052673,0.0000000011284,0.0000000036352,0.0000000013682,0.000000029896,0.0000000046738,0.000000062825,0.000000060895,,,,,
