bands,wavelength [Hz],wavelength [Angstrom],color,reference_flux,sncosmo_name,label,effective_width [Hz]
U,8.36900e+14,3584.78000,black,5.47200e-06,bessellux,Bessell/U,4.58165e+15
B,6.86300e+14,4371.07000,black,5.53500e-06,bessellb,Bessell/B,3.26899e+15
V,5.47700e+14,5477.70000,black,3.26400e-06,bessellv,Bessell/V,3.47640e+15
R,4.61700e+14,6498.09000,black,4.16700e-06,bessellr,Bessell/R,2.04961e+15
I,3.74100e+14,8020.14000,black,2.55400e-06,besselli,Bessell/I,2.06060e+15
bessellux,8.36900e+14,3584.78000,black,5.47200e-06,bessellux,Bessell/U,4.58165e+15
bessellb,6.86300e+14,4371.07000,black,5.53500e-06,bessellb,Bessell/B,3.26899e+15
bessellv,5.47700e+14,5477.70000,black,3.26400e-06,bessellv,Bessell/V,3.47640e+15
bessellr,4.61700e+14,6498.09000,black,4.16700e-06,bessellr,Bessell/R,2.04961e+15
besselli,3.74100e+14,8020.14000,black,2.55400e-06,besselli,Bessell/I,2.06060e+15
standard::u,8.36900e+14,3584.78000,black,5.47200e-06,standard::u,Bessell/U,4.59973e+15
standard::b,6.86300e+14,4371.07000,black,5.53500e-06,standard::b,Bessell/B,3.28271e+15
standard::v,5.47700e+14,5477.70000,black,3.26400e-06,standard::v,Bessell/V,3.49892e+15
standard::r,4.61700e+14,6498.09000,black,4.16700e-06,standard::r,Bessell/R,2.06918e+15
standard::i,3.74100e+14,8020.14000,black,2.55400e-06,standard::i,Bessell/I,2.06060e+15
J1,2.84400e+14,10550.25000,black,2.35100e-06,f105w,WFC3/F105W,1.13187e+15
J,2.42900e+14,12350.00000,black,1.16500e-06,2massj,2MASS/J,1.84576e+15
H,1.80500e+14,16620.00000,black,9.95300e-07,2massh,2MASS/H,1.19472e+15
K,1.39000e+14,21590.00000,black,6.14300e-07,2massks,2MASS/K,1.14476e+15
Ks,1.39000e+14,21590.00000,black,6.14300e-07,2massks,2MASS/K,1.14476e+15
2massj,2.42900e+14,12350.00000,black,1.16500e-06,2massj,2MASS/J,1.84576e+15
2massh,1.80500e+14,16620.00000,black,9.95300e-07,2massh,2MASS/H,1.19472e+15
2massks,1.39000e+14,21590.00000,black,6.14300e-07,2massks,2MASS/K,1.14476e+15
ps1::g,6.18700e+14,4849.11000,black,4.93700e-06,ps1::g,PS1/g,2.57003e+15
ps1::r,4.83800e+14,6201.20000,black,3.58400e-06,ps1::r,PS1/r,2.27444e+15
ps1::w,4.77300e+14,6285.91000,black,7.36800e-06,ps1::w,PS1/w,9.47195e+14
ps1::open,4.32000e+14,6943.76000,black,9.81100e-06,ps1::open,PS1/open,6.55711e+14
ps1::i,3.98100e+14,7534.96000,black,2.33000e-06,ps1::i,PS1/i,2.41255e+15
ps1::z,3.45800e+14,8674.20000,black,1.44900e-06,ps1::z,PS1/z,3.10424e+15
ps1::y,3.11600e+14,9627.79000,black,7.51700e-07,ps1::y,PS1/y,4.87513e+15
u',8.43500e+14,3556.52000,black,4.68600e-06,sdssu,SDSS/u,5.89782e+15
g',6.38000e+14,4702.50000,black,5.31300e-06,sdssg,SDSS/g,2.57751e+15
r',4.85800e+14,6175.58000,black,3.03700e-06,sdssr,SDSS/r,2.70526e+15
i',4.00500e+14,7489.98000,black,2.15300e-06,sdssi,SDSS/i,2.72465e+15
z',3.35300e+14,8946.71000,black,1.59100e-06,sdssz,SDSS/z,2.75364e+15
u,8.43500e+14,3556.52000,black,4.68600e-06,sdssu,SDSS/u,5.89782e+15
g,6.38000e+14,4702.50000,black,5.31300e-06,sdssg,SDSS/g,2.57751e+15
r,4.85800e+14,6175.58000,black,3.03700e-06,sdssr,SDSS/r,2.70526e+15
i,4.00500e+14,7489.98000,black,2.15300e-06,sdssi,SDSS/i,2.72465e+15
z,3.35300e+14,8946.71000,black,1.59100e-06,sdssz,SDSS/z,2.75364e+15
sdss::u,8.43500e+14,3556.52000,black,4.68600e-06,sdss::u,SDSS/u,5.89782e+15
sdss::g,6.38000e+14,4702.50000,black,5.31300e-06,sdss::g,SDSS/g,2.57751e+15
sdss::r,4.85800e+14,6175.58000,black,3.03700e-06,sdss::r,SDSS/r,2.70526e+15
sdss::i,4.00500e+14,7489.98000,black,2.15300e-06,sdss::i,SDSS/i,2.72465e+15
sdss::z,3.35300e+14,8946.71000,black,1.59100e-06,sdss::z,SDSS/z,2.75364e+15
